simulation_id,auction_type,per_ruolo,agent_id,agent_type,total_evaluation,bestxi_evaluation,credits_spent,players_count,bestxi_budget
chiamata_True_5,chiamata,True,random_1,RandomAgent,3.978891820580475,2.0765171503957784,929,25,
chiamata_True_5,chiamata,True,cap_tier,CapAgent,4.0237467018469655,2.451187335092348,999,25,0.95
chiamata_True_5,chiamata,True,cap_bestx1_aggressive,CapAgent,4.2928759894459105,2.846965699208443,1000,25,0.99
chiamata_True_5,chiamata,True,dynamic_cap_bestx1_balanced,DynamicCapAgent,3.984168865435356,2.6569920844327175,991,25,0.95
chiamata_True_5,chiamata,True,dynamic_cap_tier,DynamicCapAgent,4.021108179419525,2.6490765171503954,996,25,0.95
chiamata_True_5,chiamata,True,cap_bestx1_balanced,CapAgent,4.324538258575198,3.195250659630607,1000,25,0.95
chiamata_True_5,chiamata,True,RLDeepAgent,RLDeepAgent,2.6517150395778364,1.3562005277044855,988,13,
chiamata_False_1,chiamata,False,RLDeepAgent,RLDeepAgent,4.100263852242744,3.176781002638523,1000,25,
chiamata_False_1,chiamata,False,dynamic_cap_bestx1_balanced,DynamicCapAgent,4.176781002638522,2.45910290237467,986,25,0.95
chiamata_False_1,chiamata,False,random_1,RandomAgent,3.891820580474934,2.7598944591029024,1000,25,
chiamata_False_1,chiamata,False,cap_bestx1_aggressive,CapAgent,3.836411609498681,2.2902374670184695,1000,25,0.99
chiamata_False_1,chiamata,False,dynamic_cap_bestx1_aggressive,DynamicCapAgent,4.153034300791557,2.6068601583113455,989,25,0.99
chiamata_False_1,chiamata,False,cap_tier,CapAgent,3.8601583113456464,3.108179419525066,1000,25,0.95
chiamata_False_1,chiamata,False,dynamic_cap_tier,DynamicCapAgent,4.139841688654354,2.812664907651715,998,25,0.95
chiamata_False_1,chiamata,False,cap_bestx1_balanced,CapAgent,3.41688654353562,2.055408970976253,993,18,0.95
chiamata_False_2,chiamata,False,dynamic_cap_tier,DynamicCapAgent,4.129287598944591,2.6886543535620056,997,25,0.95
chiamata_False_2,chiamata,False,random_1,RandomAgent,3.825857519788918,2.2559366754617414,1000,25,
chiamata_False_2,chiamata,False,dynamic_cap_bestx1_aggressive,DynamicCapAgent,4.163588390501319,2.725593667546174,991,25,0.99
chiamata_False_2,chiamata,False,RLDeepAgent,RLDeepAgent,4.04221635883905,3.1688654353562007,1000,25,
chiamata_False_2,chiamata,False,cap_bestx1_aggressive,CapAgent,3.965699208443272,2.4986807387862795,1000,25,0.99
chiamata_False_2,chiamata,False,dynamic_cap_bestx1_balanced,DynamicCapAgent,4.129287598944591,2.70712401055409,987,25,0.95
chiamata_False_2,chiamata,False,cap_bestx1_balanced,CapAgent,3.857519788918206,2.5118733509234827,1000,25,0.95
chiamata_False_2,chiamata,False,cap_tier,CapAgent,3.0554089709762535,2.891820580474934,982,7,0.95
chiamata_False_3,chiamata,False,cap_tier,CapAgent,4.018469656992084,2.5514511873350925,1000,25,0.95
chiamata_False_3,chiamata,False,dynamic_cap_bestx1_balanced,DynamicCapAgent,4.121372031662269,2.456464379947229,985,25,0.95
chiamata_False_3,chiamata,False,random_1,RandomAgent,3.8733509234828496,3.087071240105541,1000,25,
chiamata_False_3,chiamata,False,cap_bestx1_aggressive,CapAgent,3.886543535620053,2.287598944591029,1000,25,0.99
chiamata_False_3,chiamata,False,dynamic_cap_bestx1_aggressive,DynamicCapAgent,4.100263852242744,2.525065963060686,989,25,0.99
chiamata_False_3,chiamata,False,dynamic_cap_tier,DynamicCapAgent,4.118733509234828,2.7678100263852246,998,25,0.95
chiamata_False_3,chiamata,False,RLDeepAgent,RLDeepAgent,3.9182058047493404,3.021108179419525,1000,25,
chiamata_False_3,chiamata,False,cap_bestx1_balanced,CapAgent,3.5963060686015833,1.9788918205804749,994,19,0.95
chiamata_False_4,chiamata,False,RLDeepAgent,RLDeepAgent,4.084432717678101,3.1688654353562007,1000,25,
chiamata_False_4,chiamata,False,cap_bestx1_aggressive,CapAgent,3.8944591029023745,2.3271767810026387,1000,25,0.99
chiamata_False_4,chiamata,False,random_1,RandomAgent,3.8680738786279685,2.7308707124010554,1000,25,
chiamata_False_4,chiamata,False,dynamic_cap_bestx1_aggressive,DynamicCapAgent,4.147757255936676,2.649076517150396,989,25,0.99
chiamata_False_4,chiamata,False,dynamic_cap_bestx1_balanced,DynamicCapAgent,4.150395778364116,2.440633245382586,988,25,0.95
chiamata_False_4,chiamata,False,dynamic_cap_tier,DynamicCapAgent,4.092348284960422,2.839050131926121,998,25,0.95
chiamata_False_4,chiamata,False,cap_tier,CapAgent,3.8548812664907652,3.1108179419525066,1000,25,0.95
chiamata_False_4,chiamata,False,cap_bestx1_balanced,CapAgent,3.5356200527704487,1.9841688654353562,994,19,0.95
chiamata_False_5,chiamata,False,cap_bestx1_aggressive,CapAgent,4.036939313984169,2.588390501319261,998,25,0.99
chiamata_False_5,chiamata,False,dynamic_cap_bestx1_aggressive,DynamicCapAgent,4.110817941952507,2.530343007915567,987,25,0.99
chiamata_False_5,chiamata,False,random_1,RandomAgent,3.8548812664907652,2.538258575197889,1000,25,
chiamata_False_5,chiamata,False,dynamic_cap_bestx1_balanced,DynamicCapAgent,4.065963060686016,2.4432717678100264,988,25,0.95
chiamata_False_5,chiamata,False,RLDeepAgent,RLDeepAgent,3.984168865435356,3.0659630606860158,1000,25,
chiamata_False_5,chiamata,False,cap_tier,CapAgent,3.8733509234828496,2.786279683377309,1000,25,0.95
chiamata_False_5,chiamata,False,dynamic_cap_tier,DynamicCapAgent,4.1319261213720315,2.844327176781003,998,25,0.95
chiamata_False_5,chiamata,False,cap_bestx1_balanced,CapAgent,3.4934036939313984,1.7651715039577835,993,18,0.95
