auction_number,timestamp,deep_agent,cap_bestx1_balanced,cap_bestx1_aggressive,cap_tier,dynamic_cap_bestx1_balanced,dynamic_cap_bestx1_aggressive,dynamic_cap_tier,random_1
13,2025-08-05 18:50:12.638644,0.0,3.1688654353562007,2.575197889182058,2.8311345646437998,2.8443271767810026,3.0263852242744065,2.8258575197889186,1.9050131926121372
14,2025-08-05 18:50:18.019278,0.0,3.094986807387863,2.799472295514512,2.649076517150396,2.8311345646437993,2.8337730870712403,2.963060686015831,2.2691292875989446
15,2025-08-05 18:50:22.971545,0.0,3.2269129287598943,2.891820580474934,2.9419525065963064,2.778364116094987,2.7757255936675462,2.9815303430079156,1.9313984168865435
16,2025-08-05 18:50:28.157538,0.0,3.1846965699208445,2.804749340369393,2.9920844327176783,2.799472295514512,2.7757255936675462,3.060686015831134,2.0976253298153034
17,2025-08-05 18:50:33.195976,0.0,3.2242744063324538,3.0395778364116097,3.034300791556728,2.825857519788918,2.8021108179419523,2.9340369393139842,2.108179419525066
18,2025-08-05 18:50:38.310120,0.0,3.0897097625329817,2.8179419525065965,2.746701846965699,2.891820580474934,2.757255936675462,2.8021108179419523,2.1688654353562007
19,2025-08-05 18:50:43.546580,0.0,3.2110817941952505,2.7176781002638526,2.7440633245382586,2.8680738786279685,2.7308707124010554,2.936675461741425,2.0554089709762535
20,2025-08-05 18:50:48.645937,0.0,3.3825857519788918,3.0343007915567286,2.4459102902374674,2.8759894459102906,2.9894459102902373,2.807387862796834,2.3034300791556728
21,2025-08-05 18:50:55.007504,0.0,3.348284960422163,2.7625329815303425,2.627968337730871,2.662269129287599,2.807387862796834,2.9868073878627968,2.0474934036939314
22,2025-08-05 18:51:00.886859,0.0,3.171503957783641,2.899736147757256,2.5804749340369395,2.870712401055409,2.7941952506596306,2.807387862796834,2.087071240105541
23,2025-08-05 18:51:06.058392,0.0,3.092348284960422,2.730870712401056,3.050131926121372,2.928759894459103,2.8179419525065965,2.8021108179419523,2.1715039577836412
24,2025-08-05 18:51:12.312570,0.0,3.345646437994723,2.741424802110818,3.0184696569920844,2.8232189973614776,2.825857519788918,2.9920844327176788,1.4802110817941951
25,2025-08-05 18:51:17.415962,0.0,3.350923482849604,3.2058047493403694,2.6675461741424806,2.83377308707124,2.778364116094987,2.7730870712401057,1.862796833773087
26,2025-08-05 18:51:22.504405,0.0,3.203166226912929,2.8522427440633247,2.886543535620053,2.799472295514512,2.8232189973614776,3.0422163588390503,2.192612137203166
27,2025-08-05 18:51:27.055689,0.0,3.3641160949868074,3.142480211081794,2.7361477572559374,2.7651715039577835,2.8627968337730874,2.952506596306069,1.7018469656992083
28,2025-08-05 18:51:32.432901,0.0,3.2189973614775726,3.1134564643799476,2.6992084432717682,2.778364116094987,2.786279683377309,2.8311345646437993,1.7572559366754619
29,2025-08-05 18:51:37.898828,0.0,3.345646437994723,3.0817941952506596,2.9709762532981534,2.8918205804749344,2.7546174142480213,2.812664907651715,1.8970976253298155
30,2025-08-05 18:51:42.579374,0.0,3.094986807387863,2.691292875989446,3.0211081794195254,3.0712401055408973,2.8311345646437998,2.878627968337731,2.2823218997361474
31,2025-08-05 18:51:47.657518,0.0,3.3693931398416885,2.9498680738786285,3.1477572559366758,2.83377308707124,2.728232189973615,2.807387862796834,1.8390501319261214
32,2025-08-05 18:51:53.501553,0.0,3.1662269129287597,2.538258575197889,2.952506596306069,2.8100263852242744,2.8522427440633247,2.762532981530343,2.2269129287598948
33,2025-08-05 18:51:59.603817,0.0,3.179419525065963,2.480211081794195,2.9313984168865437,2.812664907651715,2.87598944591029,2.8891820580474934,2.1451187335092348
34,2025-08-05 18:52:05.052092,0.0,3.192612137203166,2.575197889182058,2.870712401055409,2.907651715039578,2.857519788918206,2.9261213720316626,2.102902374670185
35,2025-08-05 18:52:10.358670,0.0,3.1820580474934035,2.6174142480211087,2.9630606860158313,2.9129287598944593,2.8100263852242744,2.883905013192612,2.0606860158311346
36,2025-08-05 18:52:15.465632,0.0,3.1609498680738786,2.7440633245382586,2.5013192612137205,2.7651715039577835,2.902374670184696,2.941952506596306,2.387862796833773
